date,temp_avg,temp_max,temp_min,precip,wind,humidity,year,month,heavy_rain,dry_day,heat_stress,high_wind,dry_spell
2010-01-01,17.65,20.88,15.01,31.85,2.02,90.13,2010,1,0,0,0,0,0
2010-01-02,17.11,20.13,14.46,26.84,1.21,82.84,2010,1,0,0,0,0,0
2010-01-03,19.59,24.96,14.86,7.55,1.69,78.52,2010,1,0,0,0,0,0
2010-01-04,18.23,21.08,16.16,28.3,1.25,85.35,2010,1,0,0,0,0,0
2010-01-05,19.56,24.47,15.48,9.61,1.89,77.39,2010,1,0,0,0,0,0
2010-01-06,19.37,23.96,15.03,9.47,1.49,77.04,2010,1,0,0,0,0,0
2010-01-07,19.3,24.0,14.79,5.96,1.64,73.74,2010,1,0,0,0,0,0
2010-01-08,19.32,23.82,14.65,8.93,1.45,74.74,2010,1,0,0,0,0,0
2010-01-09,18.35,21.75,15.75,14.38,1.97,82.34,2010,1,0,0,0,0,0
2010-01-10,18.83,22.62,14.52,5.15,1.31,77.72,2010,1,0,0,0,0,0
2010-01-11,19.9,24.6,16.16,2.57,1.45,73.52,2010,1,0,0,0,0,0
2010-01-12,19.98,25.55,14.61,0.33,2.18,68.69,2010,1,0,1,0,0,0
2010-01-13,19.17,25.24,13.52,0.82,2.95,64.33,2010,1,0,1,0,0,0
2010-01-14,18.91,25.6,12.94,0.16,2.89,65.25,2010,1,0,1,0,0,0
2010-01-15,19.6,26.44,12.35,0.36,2.33,66.96,2010,1,0,1,0,0,0
2010-01-16,19.95,26.34,13.27,0.31,2.39,65.14,2010,1,0,1,0,0,0
2010-01-17,20.19,26.68,13.53,0.18,2.53,66.29,2010,1,0,1,0,0,0
2010-01-18,20.52,26.9,14.46,0.07,2.79,65.26,2010,1,0,1,0,0,1
2010-01-19,20.13,26.68,13.04,0.05,2.64,62.87,2010,1,0,1,0,0,1
2010-01-20,20.36,26.83,13.96,0.16,2.59,65.32,2010,1,0,1,0,0,1
2010-01-21,20.53,26.89,13.88,0.42,2.06,66.53,2010,1,0,1,0,0,1
2010-01-22,20.52,26.33,15.53,3.06,1.56,67.69,2010,1,0,0,0,0,0
2010-01-23,20.44,26.06,14.7,2.39,1.39,70.25,2010,1,0,0,0,0,0
2010-01-24,20.42,27.39,14.76,1.52,3.21,65.27,2010,1,0,0,0,0,0
2010-01-25,19.99,27.01,12.71,1.01,3.12,63.4,2010,1,0,0,0,0,0
2010-01-26,19.92,27.62,13.59,0.62,3.07,59.24,2010,1,0,1,0,0,0
2010-01-27,19.4,27.16,12.29,0.04,3.17,56.62,2010,1,0,1,0,0,0
2010-01-28,20.01,27.17,13.27,0.05,2.81,58.76,2010,1,0,1,0,0,0
2010-01-29,21.15,27.77,14.0,0.0,2.15,62.93,2010,1,0,1,0,0,0
2010-01-30,21.69,28.11,14.77,0.02,1.78,58.97,2010,1,0,1,0,0,0
2010-01-31,21.39,28.34,14.35,0.94,2.77,61.35,2010,1,0,1,0,0,0
2010-02-01,21.77,28.31,15.25,0.28,2.61,60.8,2010,2,0,1,0,0,1
2010-02-02,21.85,28.91,14.86,0.11,2.52,53.94,2010,2,0,1,0,0,1
2010-02-03,22.04,29.51,14.96,3.52,2.41,59.99,2010,2,0,0,0,0,0
2010-02-04,20.26,26.89,16.19,11.2,2.38,74.31,2010,2,0,0,0,0,0
2010-02-05,18.55,21.65,16.28,10.62,1.59,84.61,2010,2,0,0,0,0,0
2010-02-06,19.64,23.6,16.01,5.38,1.09,79.1,2010,2,0,0,0,0,0
2010-02-07,18.75,21.55,16.48,4.08,1.09,82.97,2010,2,0,0,0,0,0
2010-02-08,20.88,26.87,15.69,1.87,1.9,70.43,2010,2,0,0,0,0,0
2010-02-09,21.09,28.04,14.13,0.08,2.0,62.0,2010,2,0,1,0,0,0
2010-02-10,20.91,28.79,13.81,0.0,2.49,54.7,2010,2,0,1,0,0,0
2010-02-11,21.5,29.02,14.12,0.09,2.02,58.91,2010,2,0,1,0,0,0
2010-02-12,21.9,27.73,15.59,0.92,2.54,62.1,2010,2,0,1,0,0,0
2010-02-13,22.56,29.13,15.79,0.1,2.58,61.07,2010,2,0,1,0,0,0
2010-02-14,22.86,28.85,17.05,0.9,2.3,64.67,2010,2,0,1,0,0,0
2010-02-15,22.14,28.21,17.0,1.09,1.87,65.7,2010,2,0,0,0,0,0
2010-02-16,20.71,25.57,17.82,3.25,1.73,73.1,2010,2,0,0,0,0,0
2010-02-17,19.5,23.28,17.37,13.41,1.84,82.53,2010,2,0,0,0,0,0
2010-02-18,20.2,25.42,16.56,2.98,1.64,73.82,2010,2,0,0,0,0,0
2010-02-19,21.98,28.09,15.91,4.45,2.46,67.32,2010,2,0,0,0,0,0
2010-02-20,21.32,26.01,17.95,9.45,1.75,72.1,2010,2,0,0,0,0,0
2010-02-21,21.85,27.3,16.94,5.41,1.64,71.6,2010,2,0,0,0,0,0
2010-02-22,21.21,25.68,17.13,5.99,2.11,72.66,2010,2,0,0,0,0,0
2010-02-23,21.61,27.56,16.83,7.33,1.88,71.85,2010,2,0,0,0,0,0
2010-02-24,22.06,28.37,16.46,4.68,2.05,68.22,2010,2,0,0,0,0,0
2010-02-25,21.08,26.75,17.09,7.14,2.14,75.57,2010,2,0,0,0,0,0
2010-02-26,19.56,22.86,17.34,10.66,1.8,85.6,2010,2,0,0,0,0,0
2010-02-27,18.65,20.73,17.27,13.38,1.6,89.21,2010,2,0,0,0,0,0
2010-02-28,18.52,21.99,15.83,35.91,2.28,85.37,2010,2,0,0,0,0,0
2010-03-01,19.03,23.06,15.96,4.25,2.15,81.01,2010,3,0,0,0,0,0
2010-03-02,19.54,23.39,15.91,9.98,1.71,78.32,2010,3,0,0,0,0,0
