year,CRI_daily,CRI,loss_percent,total_value,economic_loss_usd
2010,5.0,26.954177897574127,16.172506738544474,90000,14555.256064690026
2011,3.8499999999999996,20.754716981132077,12.452830188679245,90000,11207.547169811322
2012,14.549999999999999,78.4366576819407,47.06199460916442,90000,42355.79514824798
2013,6.6,35.57951482479785,21.347708894878707,90000,19212.938005390835
2014,11.15,60.10781671159031,36.06469002695418,90000,32458.221024258764
2015,18.549999999999997,100.0,60.0,90000,54000.0
2016,10.2,54.98652291105122,32.99191374663073,90000,29692.72237196766
2017,13.6,73.31536388140162,43.98921832884097,90000,39590.29649595687
2018,6.95,37.46630727762804,22.479784366576823,90000,20231.80592991914
2019,12.049999999999999,64.95956873315365,38.97574123989219,90000,35078.167115902965
2020,1.15,6.199460916442049,3.719676549865229,90000,3347.7088948787064
2021,5.0,26.954177897574127,16.172506738544474,90000,14555.256064690026
2022,11.0,59.29919137466308,35.57951482479785,90000,32021.563342318062
2023,9.9,53.369272237196775,32.02156334231806,90000,28819.407008086255
2024,1.55,8.35579514824798,5.013477088948788,90000,4512.12938005391
2025,10.25,55.25606469002696,33.153638814016176,90000,29838.27493261456
2026,2.05,11.051212938005392,6.630727762803235,90000,5967.654986522911
